Numero,Wiki Friendly Name,Sestiere,lat,long,street view html,Affordability,Affordability (Scaled),Well-Served, Well-Served (Scaled),Touristy,Touristy (Scaled),Congestion,Congestion (Scaled),Accessibility,Reachability,Reachability (Scaled),Green Space,Green Space (Scaled)
#,Island of _____,,,,,,,,,,,,,,,,,
21,Island of San Zan Degolà,San Croce,45.440638,12.325764,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1750253217872!6m8!1m7!1sH8i3nhuLZ2kmQv-yyUgmvQ!2m2!1d45.44255157868555!2d12.32102953868646!3f45.158489315080956!4f-0.9877157406747727!5f0.7820865974627469"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",5444000,4.677720853,120,2.649006623,0.7775489186,8.889215831,0.02202910267,8.714604049,0,8.6,2.866666667,0.1632810373,1.749861297
22,Island of San Giacomo da l'Orio,San Croce,45.440693,12.32791,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1750253217872!6m8!1m7!1sH8i3nhuLZ2kmQv-yyUgmvQ!2m2!1d45.44255157868555!2d12.32102953868646!3f45.158489315080956!4f-0.9877157406747727!5f0.7820865974627469"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",4302500,5.863161174,10,0.2207505519,0.3805309735,9.456384324,0.01726253556,8.992732766,0,0,0,0.1357913512,1.455257965
23,Island of Megio,San Croce,45.441402,12.329047,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1750253217872!6m8!1m7!1sH8i3nhuLZ2kmQv-yyUgmvQ!2m2!1d45.44255157868555!2d12.32102953868646!3f45.158489315080956!4f-0.9877157406747727!5f0.7820865974627469"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",6567291.667,3.511189767,0.5,0.01103752759,0.253164557,9.638336347,0.01388499299,9.189812039,0,0,0,0.2834831476,3.038051428
24,Island of San Stae,San Croce,45.440886,12.329731,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1750253217872!6m8!1m7!1sH8i3nhuLZ2kmQv-yyUgmvQ!2m2!1d45.44255157868555!2d12.32102953868646!3f45.158489315080956!4f-0.9877157406747727!5f0.7820865974627469"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",6392500,3.692709776,100,2.207505519,1.171348315,8.326645265,0.02637911884,8.460781038,0,3.4,1.133333333,0.1333526065,1.42912226
25,Island of Ca'Mocenigo,San Croce,45.440454,12.330302,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1750253217872!6m8!1m7!1sH8i3nhuLZ2kmQv-yyUgmvQ!2m2!1d45.44255157868555!2d12.32102953868646!3f45.158489315080956!4f-0.9877157406747727!5f0.7820865974627469"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",6026250,4.073058017,0,0,1.223744292,8.251793868,0.03031583395,8.231074103,0,0,0,0.1228740517,1.316824973
26,Island of S.M. Mater Domini,San Croce,45.439975,12.330539,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1750253217872!6m8!1m7!1sH8i3nhuLZ2kmQv-yyUgmvQ!2m2!1d45.44255157868555!2d12.32102953868646!3f45.158489315080956!4f-0.9877157406747727!5f0.7820865974627469"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",5441250,4.68057671,10,0.2207505519,0.9895470383,8.586361374,0.02686915888,8.43218725,0,0,0,0.05047171816,0.5408987332
27,Island of Do Torri,San Croce,45.439727,12.331257,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1750253217872!6m8!1m7!1sH8i3nhuLZ2kmQv-yyUgmvQ!2m2!1d45.44255157868555!2d12.32102953868646!3f45.158489315080956!4f-0.9877157406747727!5f0.7820865974627469"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",6930000,3.134519524,5,0.1103752759,1.305993691,8.134294727,0.02241173106,8.692277721,0,0,0,0.1007836159,1.080084692
28,Island of San Cassian,San Polo,45.43921,12.332107,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1750253217872!6m8!1m7!1sH8i3nhuLZ2kmQv-yyUgmvQ!2m2!1d45.44255157868555!2d12.32102953868646!3f45.158489315080956!4f-0.9877157406747727!5f0.7820865974627469"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",6076666.667,4.020700637,25.5,0.5629139073,1.041176471,8.512605042,0.01990483003,8.838555146,0,0,0,0.02699556157,0.2893078656
29,Island of San Silvestro,San Polo,45.438285,12.333719,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1750253217872!6m8!1m7!1sH8i3nhuLZ2kmQv-yyUgmvQ!2m2!1d45.44255157868555!2d12.32102953868646!3f45.158489315080956!4f-0.9877157406747727!5f0.7820865974627469"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",3900000,6.281154805,335.5,7.406181015,3.606242497,4.848225004,0.01814375436,8.941313737,1.25,9.2,3.066666667,0.02301182378,0.2466146742
30,Island of San Boldo,San Polo,45.438864,12.328708,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1750253217872!6m8!1m7!1sH8i3nhuLZ2kmQv-yyUgmvQ!2m2!1d45.44255157868555!2d12.32102953868646!3f45.158489315080956!4f-0.9877157406747727!5f0.7820865974627469"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",5933750,4.169118665,15,0.3311258278,0.5958762887,9.148748159,0.03420595459,8.00408595,0,0,0,0.09613955412,1.030314896
